商品名,取引金額 (円),投稿日,1000視聴回数取引金額 (円),広告視聴率,視聴回数,クリエイター,フォロワー数,動画ID,動画リンク
Enchenal Lab 電動シェーバー メンズ 往復式 髭剃り 小型 深剃り 0.05mm薄ハニカムメッシュ刃 高速駆動 長持ちバッテリー 出張 旅行 携帯用,45万円,2026-05-10,264円,0.70%,170.74万,@da_osusume,1.8万,7638092305290906900,https://www.tiktok.com/@da_osusume/video/7638092305290906900
和風の多機能デニムバックパック、ウォッシュ加工のデニムの3WAYバッグ、ワンショルダー・斜め掛け・背負えるリュック、男女兼用カップル向けモデル、複数の収納スペースを備えたカジュアルで合わせやすいバッグ、大容量、学生や通勤・日常使いに最適なトートバッグ,45万円,2026-09-13,336円,4.02%,134.06万,@user8744152168783,543,7684663293360803079,https://www.tiktok.com/@user8744152168783/video/7684663293360803079
【公式】by one sii バイワンシー ブースタートリートメント 導入泡美容液 200ml 無香料,44万円,2026-09-18,134円,1.29%,329.68万,@rururungirly,"5,265",7686688793591598344,https://www.tiktok.com/@rururungirly/video/7686688793591598344
育毛剤KAMISTRO(カミストロ)｜性別不問　40g,44万円,2026-09-05,673円,8.62%,65.6万,@motetaidake,"5,406",7681878320241184020,https://www.tiktok.com/@motetaidake/video/7681878320241184020
"【今だけ6,000円OFFクーポン】アクションカメラ ポケットジンバル 4K 動画撮影 7500万画素 32GBメモリカード付属 小型 軽量 1.72インチ画面 Bluetooth6.1 高性能【PL保険加入済み製品・安心】",44万円,2026-09-15,"1,575円",19.72%,27.98万,@uichan.818,"1,275",7685726684259306760,https://www.tiktok.com/@uichan.818/video/7685726684259306760
セインムー EVERSUISO（エバースイソ）純度100％ 独自技術・持続発生型水素補給サプリメント,44万円,2026-06-01,5万円,>90%,"9,061",@k0sei129,"3,070",7646205294908804370,https://www.tiktok.com/@k0sei129/video/7646205294908804370
YUMI BAG マルチポケット ミニボストンバッグ 2026年新作 レディース 3WAY PUレザー 軽量 380g 大容量収納 ファスナー開閉 口も手持ち・肩掛け・斜め掛け可能 通勤・通学・旅行・お出かけ・普段使いに適した上品でカジュアルなスタイル,44万円,2026-09-11,603円,7.80%,72.31万,@yumibagdirect,"1,408",7684209844399770901,https://www.tiktok.com/@yumibagdirect/video/7684209844399770901
【無添加・無塩 骨取り済み！】 希少な国産 さば サバ 鯖 グラムが選べる約1kg(6〜9枚）約2kg(12〜18枚）骨取り 国産サバ 海鮮 天然 美味しい 魚 魚介 海産物 おかず おつまみ 乾き物 酒の肴 贈り物 お取り寄せ,43万円,2026-09-13,"2,386円",37.45%,18.23万,@cook_taka_aki,"4,710",7684954465371294997,https://www.tiktok.com/@cook_taka_aki/video/7684954465371294997
【公式】 KITEN バルーンラッシュ まつ毛美容液 8ml,43万円,2026-09-02,541円,6.74%,80.24万,@himesma_kawaii,"2,913",7680787396203466005,https://www.tiktok.com/@himesma_kawaii/video/7680787396203466005
Monster-D 0 2トランスレーションイヤフォン-AIスマートノイズキャンセレーションとワイヤレスBluetoothを搭載し、非常に長いバッテリー寿命を実現しています。,43万円,2026-09-09,214円,1.41%,201.94万,@asu_kurashi,2.24万,7683421171932515602,https://www.tiktok.com/@asu_kurashi/video/7683421171932515602
Y2K ミレニアル レトロ フルジップパーカー＆刺繍入りワイドレッグスウェットパンツ2点セット、アメリカンストリート風ルーズスポーツウェア、メンズ用,43万円,2026-09-19,256円,0%,168.34万,@fishfi1231,195,7687069692950859026,https://www.tiktok.com/@fishfi1231/video/7687069692950859026
【お得な3点セット】サロン帰りのような美髪へ。　ネクサス　ケラフィックスリペア　シャンプー＋トリートメント＋　プロメンド　オイルリザレクション　ヘアオイルセット,43万円,2026-04-15,"3,202円",49.25%,13.4万,@momonaol,"1,331",7628947364874734856,https://www.tiktok.com/@momonaol/video/7628947364874734856
2026年クリスマスアドベントカレンダー、24日間カウントダウンカレンダー、ラメ付きミニ餃子型スクイーズおもちゃ、子ども向けのクリスマスギフト,43万円,2026-09-16,566円,0%,75.52万,@khl0807,846,7686019679554456852,https://www.tiktok.com/@khl0807/video/7686019679554456852
期間限定割引[眼鏡ケース 眼鏡拭き付属]韓国版女性超軽量変色眼鏡 近視用メガネ レディース調光メガネ 超軽量 ブルーライトカット 変色サ (対応 PC＋金属フレーム 日中夜兼用 おしゃれメガネ アジア人の顔型にフィットする設計,43万円,2026-09-11,447円,5.16%,95.43万,@beyan_diet,"8,087",7684233216991055122,https://www.tiktok.com/@beyan_diet/video/7684233216991055122
1【かわいいスクイーズおもちゃ】柔らかい食品用シリコン、スローバウンスでストレス解消おもちゃ Squishy W2,43万円,2026-09-17,"3,027円",38.92%,14.2万,@valerrnnkgr,241,7686428379540720913,https://www.tiktok.com/@valerrnnkgr/video/7686428379540720913
1【ストレス解消トイ-デザートシリーズ】かわいいスクイーズおもちゃ、ふわふわの食品グレードシリコンゆっくりとした反動でストレス解消になるおもちゃ,43万円,2026-09-12,"2,683円",28.91%,15.93万,@coykendallsnellenbe,342,7684223881758035220,https://www.tiktok.com/@coykendallsnellenbe/video/7684223881758035220
【BnD 日本公式】 アンダーアーム ボディクリーム 100g デリケートゾーン スキンケア,41万円,2026-07-28,681円,1.21%,60.56万,@remi...chan,2.72万,7667496215797435655,https://www.tiktok.com/@remi...chan/video/7667496215797435655
背中の洗浄に特に適したアフリカンネットスポンジ（結びタイプ） あかすりタオル 垢すりタオル 体洗うタオル 垢すり 毛穴ケア 角質ケア ボディウォッシュタオル ヘチマスポンジ バス用品,41万円,2026-09-13,598円,3.54%,68.19万,@tonari_fu_fu,1.82万,7684963107839544583,https://www.tiktok.com/@tonari_fu_fu/video/7684963107839544583
【公式】 KITEN(キテン) レチノール クリーム 20g,41万円,2026-07-22,434円,4.79%,93.64万,@minichandesu,"1,216",7665182679352036625,https://www.tiktok.com/@minichandesu/video/7665182679352036625
【特別クーポンで50％OFF】【大容量リピ確定BOX】 超ド級450gのスーパージャンボクーヘンセット（450g×3） ※当商品は常温賞味期限約30日です。 常温での発送となります。 簡易包装でお届けしております。 そのため、商品に割れや崩れが生じる場合がございます。  ただし、品質や味には一切問題ございませんので、安心してお召し上がりください。,41万円,2026-09-19,922円,11.64%,44.92万,@hachi_minimal,1.49万,7687172928718245140,https://www.tiktok.com/@hachi_minimal/video/7687172928718245140
Softcore よりみちチーズ屋シリーズ【 開封後のキャンセルができません】ブラインドボックスのゆっくりとした反動でストレス解消になるおもちゃ ストレス解消スクイーズ 【160g】,40万円,2026-08-13,"7,781円",0%,5.18万,@ukon__m666,"1,594",7673497517190810900,https://www.tiktok.com/@ukon__m666/video/7673497517190810900
[クロックス公式ストア] クラシック クラフテッド ヴィーガン スウェード クロッグ,40万円,2026-09-03,"1,779円",25.45%,22.61万,@maneki_akio,1.42万,7680955333136698631,https://www.tiktok.com/@maneki_akio/video/7680955333136698631
【鹿鹿LuLuミルクバター風パンシリーズ】限定品，ねっとりしたスライムと、雲のようなホイップクリームのような触り心地です。食べ物ではありません。プレゼントにぴったりです。ストレス解消おもちゃ［ご注文商品と同じ数の予備袋付き］、ゆっくりした反動でストレスを解消するおもちゃ,40万円,2026-09-16,5万円,67.92%,"8,391",@wishsquishytoys,1.14万,7686024073243069716,https://www.tiktok.com/@wishsquishytoys/video/7686024073243069716
VITAS（バイタス） VITA POWER ビタパワー マカ 亜鉛 マルチビタミン 120タブレット 30日分,40万円,2026-09-04,346円,4.30%,115.71万,@vitas.official.jp,2万,7681592502008171784,https://www.tiktok.com/@vitas.official.jp/video/7681592502008171784
浴室 ラック マグネット シャンプーラック 棚 収納 バスルーム バスケット お風呂 浴室収納 磁石 壁面収納 浮かせる 小物 おもちゃ入れ  シャンプーボトル おしゃれ  タオルハンガー 強力 マグネットラック 壁面,40万円,2026-09-21,677円,6.19%,58.81万,@haru_kids_gohan,"5,207",7687790307886370066,https://www.tiktok.com/@haru_kids_gohan/video/7687790307886370066
吊り下げ圧縮トラベルポーチ 選べる2サイズ 吊り下げポーチ 簡単 圧縮 コンパクト 吊り下げ収納 クローゼット 会社 ジム ロッカー ナイロン生地 帽子 バッグ 整理 旅行 トラベルグッズ 出張（Ｔ）【euni-136】,40万円,2026-08-30,"2,399円",39.11%,16.56万,@osamaru_home,"7,756",7679816379305938196,https://www.tiktok.com/@osamaru_home/video/7679816379305938196
DNZZS スウェット プルスウェット 男 裏起毛 ふんわり 秋 冬 ヴィンテージ感 クルーネック カジュアル 柔らかい 通気 すっきり デイリー コーデ  おしゃれ シンプル ファッション リラックス ゆったり オーバーサイズ ストリートLT-MT-111,40万円,2026-09-09,261円,3.07%,151.93万,@0xlly_l,3.1万,7683495728299150612,https://www.tiktok.com/@0xlly_l/video/7683495728299150612
【福袋1つプレゼント】動物シリーズぷにぷにスクイーズ すぐ戻るスクイーズ  ストレス解消になるおもちゃ,40万円,2026-08-25,437円,4.12%,90.57万,@mimin_diet80,"2,592",7677839148329340168,https://www.tiktok.com/@mimin_diet80/video/7677839148329340168
【公式】オットキャスト OTTOCAST MINI Cube 3.0 新型 ミニ CarPlay＆AndroidAuto ワイヤレス アダプター 2026最新 アンドロイドオート＆カープレイ無線化接続 純正有線CarPlay/Android Auto搭載車適合 ナビ・音声コントロール・音楽・ハンズフリー通話に対応 黒い【技適認証取得済み】,39万円,2026-09-13,289円,3.51%,133.82万,@wansan_minimal,"7,812",7684939644089290002,https://www.tiktok.com/@wansan_minimal/video/7684939644089290002
【3周年記念】限定セール！藤の花ブレスレット — ロマンチックなラベンダーストーン×上品なデザイン、デートにもぴったり,38万円,2026-09-21,"1,523円",17.06%,25.05万,@kimi.loa,"6,613",7687916713286929682,https://www.tiktok.com/@kimi.loa/video/7687916713286929682
